Fingerlakes,OPR 2015,OPR 2014,OPR 2013,OPR 2012,OPR 2011,OPR 2010,OPR 2009,OPR 2008
20,0.782361847085541,0.957689178193653,1,0.62544014084507,0.916688227684347,1,0.945261717413616,0.32037643207856
73,0.131339894019682,0.663954434499593,0.0399168399168399,0.494278169014085,0.666494178525226,0.140302189330866,0.79678412589805,0
174,0.490158970476911,0.676159479251424,0.633264033264033,0.923415492957746,0.214747736093144,0.909343200740055,0.535750940814232,0.770049099836334
191,0.765707797123391,0.612693246541904,0.843243243243243,0.863116197183099,0.0357050452781371,0.863398088189948,0.619568936024632,0.436170212765957
250,0.753217259651779,0.598454027664768,0.855717255717256,0.762764084507042,0.142302716688228,0.117483811285846,0.922682175846733,0.540098199672668
340,0.884557153671461,0.790073230268511,0.944282744282744,0.974031690140845,0.91901681759379,0.799568300955905,0.878549435511461,0.734451718494272
369,0.24224072672218,0.847436940602116,0.94054054054054,0.889084507042254,0.138680465717982,,0.0639753677728361,0.356792144026187
378,0.767221801665405,0.870626525630594,0.883991683991684,0.54181338028169,0.558602846054334,0,0.872733492986657,0.0445990180032734
395,0.48221044663134,0.534580960130187,0.437837837837838,0.778609154929577,0.254333764553687,0.238051187172371,0.868628121792679,0.868248772504092
578,0.833080999242998,0.707485760781123,0.415800415800416,0.757922535211268,0.119275549805951,1.0077089115017,0.952788231269244,0.0167757774140753
639,0.481453444360333,0.764035801464605,0.827442827442827,0.911971830985915,0.12470892626132,0.250693802035153,0.819363667464933,0.362520458265139
810,0.536336109008327,0.338079739625712,0.758004158004158,0.503521126760563,0.161448900388098,0.639222941720629,,0.60392798690671
1126,0.978803936411809,0.900325467860049,0.754677754677755,0.448943661971831,0.0822768434670117,0.408880666049954,0.340745809100239,0.798690671031097
1405,0.866767600302801,0.879170056956876,0.875675675675676,0.61443661971831,0.550840879689521,,0.436195689360246,0.122340425531915
1450,0.530280090840272,0.097233523189585,0.821621621621622,0.707746478873239,0.130659767141009,0.737280296022202,1,0.00613747954173482
1507,0.956472369417108,1,0.96049896049896,1,0.0294954721862872,0.103607770582794,0,0.2569558101473
1511,0.804314912944739,0.925549227013832,0.544698544698545,0.920774647887324,0.828460543337646,0.90872648781992,0.459117345193295,0.490998363338789
1518,0.204390613171839,0.71440195280716,0.377962577962578,0.357834507042254,1,0.0391612704286155,0.580567909681834,0.177577741407529
1551,0.325889477668433,0.829943043124491,0.750519750519751,0.675616197183099,0.0755498059508409,0.108233117483811,0.216900444748546,1
1559,0.864875094625284,0.72620016273393,0.850727650727651,0.713908450704225,,0.18254702436016,0.76394115634622,0.546644844517185
1585,0.471990915972748,0.874288039056143,0.352598752598753,,0.263389391979301,0.231267345050879,0.333561409510777,1
1591,0.158213474640424,0.0301057770545159,0.0444906444906444,0.272887323943662,0.445278137128072,0.276287388220783,0.189873417721519,0.320785597381342
1665,0.728614685844058,0.133034987794955,0.678170478170478,0.794454225352113,0.0763260025873221,0.19118100524206,0.087923366404379,0.0834697217675942
1765,0.255109765329296,0.201383238405207,0.254885654885655,0.331866197183099,1,,,
1880,0.165404996214989,0.14279902359642,0.0881496881496882,0.282570422535211,0.46856403622251,0.364785692260253,,
2010,0.58440575321726,0.771358828315704,0.543451143451143,0.195862676056338,0.0579560155239327,0.391921060746223,,
2228,0.925435276305829,0.451993490642799,0.845322245322245,0.973591549295775,0,,,
2340,0,0.672091131000814,0.391268191268191,0.44806338028169,,,,
2383,0.98107494322483,0.666395443449959,0.784199584199584,0.893045774647887,,,,
2638,0.786525359576079,0.909682668836452,0.91018711018711,0.702904929577465,,,,
2791,0.655942467827404,0.803905614320586,0.886902286902287,0.762323943661972,,,,
2809,0.0999242997728993,0.945077298616762,0.753014553014553,0.401848591549296,,,,
3003,0.900075700227101,0.709926769731489,0.851559251559252,0.837147887323944,,,,
3015,0.795609386828161,0.853539462978031,0.969230769230769,0.915492957746479,,,,
3044,0.759651778955337,0.7379983726607,0.651143451143451,0.37455985915493,,,,
3157,0.772520817562453,0,0.159251559251559,0.526408450704225,,,,
3173,0.805828917486752,0.378763222131814,0.998752598752599,0.287411971830986,,,,
3181,0.331566994700984,0.244100895036615,0.757172557172557,0.558538732394366,,,,
3799,0.423542770628312,0.461757526444264,0,0.15625,,,,
3838,0.819076457229372,0.096419853539463,0.702702702702703,0.740757042253521,,,,
3951,0.612793338380015,0.511391375101709,0.331392931392931,0.690580985915493,,,,
4023,,0.109031733116355,0.116008316008316,0,,,,
4093,0.394776684330053,0.173311635475997,0.232848232848233,0.273327464788732,,,,
4930,0.445495836487509,0.770545158665582,,,,,,
5030,0.886449659348978,0.81366965012205,,,,,,
5254,1,0.913344182262002,,,,,,
5349,0.214988644965935,0.786411716842962,,,,,,
5433,0.0450416351249053,,,,,,,
5590,0.72331566994701,,,,,,,